artists,name,duration_ms,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,decade,decade_label,cluster
Off Course,おまえもひとり,265000,1980,0.0188,0.832,0.459,0.00377,0.111,-9.04,0.0335,109.096,0.96,13.0,1980,1980s,0
Rajkumar,Haalu Jenu,272588,1980,0.664,0.507,0.532,2.29e-06,0.0997,-3.603,0.0376,83.093,0.427,23.0,1980,1980s,0
UB40,25%,211093,1980,0.0274,0.613,0.278,0.238,0.0391,-17.413,0.0423,131.634,0.883,24.0,1980,1980s,0
999,L'il Red Riding Hood,170800,1980,0.0758,0.694,0.599,2.75e-06,0.366,-9.569,0.0337,121.343,0.353,32.0,1980,1980s,0
林翠萍,褪色的相思夢,193027,1980,0.742,0.721,0.3,0.0,0.0912,-15.238,0.0598,95.122,0.688,22.0,1980,1980s,2
Billy Joel,You May Be Right,253200,1980,0.175,0.567,0.945,2.6e-06,0.35,-7.243,0.0458,150.792,0.961,64.0,1980,1980s,0
Chava Alberstein,עוד חוזר הניגון,171147,1980,0.891,0.43,0.138,0.0,0.1,-13.048,0.0504,169.935,0.592,16.0,1980,1980s,2
Ratih Purwasih,Kucari Jalan Terbaik,250493,1980,0.603,0.351,0.443,0.0056,0.0876,-9.079,0.0306,151.825,0.311,21.0,1980,1980s,2
"Halli og Laddi, Laddi",Ástarogsaknaðarófararharmleikur Diðriks og Júlíu í Týrol,159614,1980,0.639,0.711,0.648,0.0,0.339,-9.138,0.0592,105.893,0.858,2.0,1980,1980s,0
Valentín Elizalde,Flor de Capomo,155432,1980,0.748,0.675,0.313,0.000233,0.412,-14.826,0.277,135.643,0.978,31.0,1980,1980s,1
サザンオールスターズ,Tiny Bubbles(type-B),141707,1980,0.114,0.601,0.706,0.0,0.0825,-6.97,0.0484,104.499,0.783,13.0,1980,1980s,0
星河大樂隊,十八姑娘一朵花,201729,1980,0.107,0.823,0.264,0.351,0.0282,-19.821,0.0427,126.452,0.91,17.0,1980,1980s,2
Nicola Di Bari,Zingara,177907,1980,0.833,0.217,0.403,0.00483,0.383,-13.149,0.0339,90.366,0.446,30.0,1980,1980s,2
Def Leppard,It Don't Matter,201267,1980,0.00664,0.489,0.9,0.0458,0.276,-6.857,0.0575,134.384,0.694,26.0,1980,1980s,0
The Jam,Music For The Last Couple,222160,1980,0.00809,0.579,0.648,0.655,0.158,-12.69,0.0739,130.92,0.113,25.0,1980,1980s,0
Die drei ???,020 - und die flammende Spur - Teil 34,70653,1980,0.482,0.61,0.431,0.0,0.435,-14.068,0.791,81.711,0.355,37.0,1980,1980s,1
Louis van Dijk,Inventione,142467,1980,0.936,0.453,0.369,0.929,0.115,-16.226,0.0344,139.369,0.897,16.0,1980,1980s,2
Zlatá brána,Trampoty s kozami,118667,1980,0.183,0.646,0.553,0.00043,0.134,-5.723,0.0446,77.83,0.877,1.0,1980,1980s,0
"Michael Franks, Crossfire",The Lady Wants to Know - Live,370080,1980,0.466,0.485,0.554,0.000136,0.956,-10.031,0.0285,98.262,0.331,18.0,1980,1980s,1
AC/DC,Givin the Dog a Bone,211760,1980,0.0704,0.525,0.975,2.22e-05,0.231,-4.372,0.0572,132.686,0.736,56.0,1980,1980s,0
Susanna Kwan,茫茫的風裡,195520,1980,0.614,0.561,0.285,0.0,0.0974,-13.921,0.028,78.201,0.29,3.0,1980,1980s,2
Pat Benatar,Hit Me With Your Best Shot,171267,1980,0.117,0.741,0.58,3.31e-05,0.212,-9.05,0.0304,127.402,0.944,72.0,1980,1980s,0
Glenn Miller,Tuxedo Junction,205160,1980,0.933,0.714,0.108,0.717,0.178,-15.872,0.06,113.581,0.412,38.0,1980,1980s,2
New Musik,Straight Lines,312173,1980,0.196,0.714,0.936,0.000951,0.053,-9.822,0.113,147.609,0.387,22.0,1980,1980s,0
Benjamin Blümchen,Kapitel 08 - und die Schule (Folge 006),60777,1980,0.541,0.677,0.263,0.0,0.858,-21.113,0.944,85.503,0.294,29.0,1980,1980s,1
John Lennon,Cleanup Time - Remastered 2010,178587,1980,0.32,0.657,0.713,0.114,0.1,-6.799,0.07,95.259,0.741,34.0,1980,1980s,0
A Taste Of Honey,Ain't Nothin' But A Party - Remastered,295267,1980,0.178,0.735,0.857,0.000338,0.0731,-5.533,0.0434,126.37,0.883,24.0,1980,1980s,0
Th' Dudes,Walking in Light,220787,1980,0.158,0.609,0.82,0.0,0.614,-9.24,0.0677,118.895,0.695,36.0,1980,1980s,0
Zlatá brána,Múdra čiapka,143907,1980,0.0133,0.696,0.615,0.23,0.0694,-5.673,0.0382,98.285,0.492,2.0,1980,1980s,0
"Jon Hassell, Brian Eno",Delta Rain Dream,209040,1980,0.924,0.497,0.537,0.849,0.104,-23.866,0.0487,80.002,0.146,37.0,1980,1980s,2
Player,It's For You,277667,1980,0.225,0.54,0.455,2.09e-06,0.438,-9.705,0.0355,138.616,0.452,24.0,1980,1980s,0
Pooh,Stagione di vento - Remastered,257800,1980,0.409,0.606,0.724,0.0,0.179,-5.623,0.033,99.309,0.547,15.0,1980,1980s,0
"Marcel Khalifa, Oumaima Khalil","Sleep Little One (Nami, Nami Ya Seghirreh)",148907,1980,0.988,0.413,0.0675,0.0,0.169,-9.075,0.0462,96.622,0.411,23.0,1980,1980s,2
Los Chichos,Odio - Remastered,198320,1980,0.75,0.589,0.807,0.000218,0.433,-6.479,0.0482,132.788,0.571,18.0,1980,1980s,0
Hana Laszlo,ידידי טין טן,165867,1980,0.809,0.484,0.414,0.0,0.137,-10.483,0.0497,136.148,0.649,3.0,1980,1980s,2
Phil Lynott,Ode To A Black Man,244827,1980,0.0153,0.591,0.783,0.00829,0.213,-11.203,0.0323,139.836,0.901,21.0,1980,1980s,0
Fünf Freunde,010 - im Nebel - Teil 28,70440,1980,0.715,0.625,0.69,0.0,0.756,-12.419,0.956,85.848,0.575,28.0,1980,1980s,1
天韻合唱團,一件禮物,194933,1980,0.605,0.252,0.312,0.000485,0.315,-11.083,0.0324,119.997,0.202,8.0,1980,1980s,2
Chabuca Granda,El Puente De Los Suspiros,233360,1980,0.811,0.589,0.34,4.01e-05,0.112,-12.877,0.0502,144.974,0.567,17.0,1980,1980s,2
"Grover Washington, Jr.",Jammin',306613,1980,0.307,0.748,0.387,8.43e-05,0.114,-13.702,0.045,121.431,0.542,37.0,1980,1980s,0
"Ragnhildur Gísladóttir, Björgvin Halldórsson",Tvö ein,204893,1980,0.254,0.381,0.179,0.0,0.0707,-17.566,0.0282,76.481,0.2,9.0,1980,1980s,2
The Specials,Rat Race - 2015 Remaster,192107,1980,0.235,0.531,0.843,7.31e-05,0.226,-7.151,0.0785,149.6,0.886,25.0,1980,1980s,0
Yumi Matsutoya,Miss Lonely,267876,1980,0.669,0.802,0.421,0.000232,0.104,-11.11,0.0322,143.458,0.505,15.0,1980,1980s,2
Black Uhuru,Vampire,273520,1980,0.00215,0.81,0.453,0.313,0.0508,-13.104,0.0902,132.499,0.827,26.0,1980,1980s,0
Fausto Rey,Tu Belleza,219821,1980,0.192,0.707,0.731,0.0,0.0293,-7.588,0.0618,126.542,0.952,21.0,1980,1980s,0
Trio Amanecer,Peru Profundo,165433,1980,0.827,0.667,0.496,0.00156,0.103,-8.664,0.281,131.556,0.373,9.0,1980,1980s,2
Titiek Sandhora,Ratapan Anak Tiri,228987,1980,0.058,0.47,0.611,0.0,0.563,-8.668,0.0294,98.82,0.337,16.0,1980,1980s,0
Angelika Mann,Frosch Rock'n'Roll,250400,1980,0.592,0.429,0.591,3.47e-05,0.779,-11.218,0.815,201.539,0.685,30.0,1980,1980s,1
Dead Kennedys,Let's Lynch the Landlord,133040,1980,0.434,0.219,0.976,0.5,0.309,-2.934,0.0967,161.285,0.613,39.0,1980,1980s,0
"Dani Litani, Shamaim Band",אני עומד לי על הגשר,391488,1980,0.019,0.405,0.831,0.000492,0.0738,-10.142,0.0905,165.258,0.268,4.0,1980,1980s,0
Camilo Sesto,Qué Más Te Da,204373,1980,0.45,0.574,0.787,0.000192,0.104,-6.768,0.061,161.836,0.787,30.0,1980,1980s,0
Air Supply,Having You Near Me,245773,1980,0.508,0.477,0.222,0.0,0.148,-16.88,0.0313,114.915,0.397,41.0,1980,1980s,2
"Olivia Newton-John, Cliff Richard",Suddenly,242427,1980,0.0685,0.588,0.506,2.12e-05,0.11,-8.176,0.0304,136.351,0.269,34.0,1980,1980s,0
Alan Ross,Valentino Mon Amour (Vocal),342787,1980,0.0709,0.793,0.631,0.0959,0.0496,-9.27,0.0394,119.486,0.866,27.0,1980,1980s,0
"France Gall, Elton John",Donner pour donner,268880,1980,0.372,0.518,0.523,4.69e-05,0.362,-10.519,0.0293,83.696,0.481,37.0,1980,1980s,0
Camilo Sesto,Tarde ó Temprano,209827,1980,0.828,0.508,0.735,0.0,0.0831,-5.108,0.035,190.502,0.64,51.0,1980,1980s,0
The Nolans,Don't Make Waves,221747,1980,0.617,0.684,0.756,1.65e-05,0.0341,-5.59,0.0408,106.636,0.9,36.0,1980,1980s,0
Steel Pulse,Shining,234716,1980,0.0121,0.839,0.569,1.79e-05,0.0391,-8.518,0.0283,98.339,0.955,32.0,1980,1980s,0
Knutsen & Ludvigsen,Til Byen,148120,1980,0.278,0.764,0.297,0.001,0.35,-16.434,0.164,88.034,0.943,8.0,1980,1980s,0
Albert Au,相識在童年,155840,1980,0.227,0.585,0.56,0.0,0.239,-7.887,0.0277,132.272,0.654,22.0,1980,1980s,0
Kano,I'm Ready,432360,1980,0.0772,0.873,0.565,0.829,0.025,-9.676,0.0588,126.642,0.785,38.0,1980,1980s,0
Dato' Sudirman,Teratai Menjelma,217733,1980,0.301,0.598,0.5,0.0,0.0747,-8.342,0.0339,134.284,0.817,10.0,1980,1980s,0
Bibi Blocksberg,Kapitel 28 - Die Zauberlimonade (Folge 003),52800,1980,0.62,0.648,0.19,0.0,0.289,-16.364,0.948,88.633,0.697,37.0,1980,1980s,1
Zerrin Özer,Ayrılıklar Unutulmaz,224683,1980,0.646,0.442,0.649,0.0609,0.585,-7.353,0.0352,88.669,0.771,8.0,1980,1980s,1
Pecos,Señor,162360,1980,0.277,0.732,0.79,0.0,0.162,-10.847,0.0304,134.09,0.978,21.0,1980,1980s,0
Paul Simon,"Oh, Marion",240720,1980,0.596,0.797,0.316,0.00291,0.0927,-13.15,0.0885,129.251,0.478,27.0,1980,1980s,2
Bruce Springsteen,The Ties That Bind,213853,1980,0.0117,0.461,0.957,0.000241,0.152,-7.142,0.0459,136.183,0.802,48.0,1980,1980s,0
Alfons Åberg,"Raska på, Alfons",484173,1980,0.415,0.624,0.174,0.0,0.0669,-17.418,0.906,81.038,0.22,35.0,1980,1980s,1
"Pavol Hammel, Prúdy",Pod,201013,1980,0.213,0.517,0.568,0.0,0.124,-12.081,0.0475,77.192,0.441,2.0,1980,1980s,0
Knutsen & Ludvigsen,Arm i arm med det store dyret,179213,1980,0.708,0.71,0.497,8.73e-05,0.133,-10.746,0.0483,85.208,0.695,10.0,1980,1980s,2
Utangarðsmenn,Hiroshima,157942,1980,0.0416,0.34,0.922,0.0,0.0563,-6.228,0.195,183.217,0.345,27.0,1980,1980s,0
Die drei ???,012 - und der seltsame Wecker - Teil 40,67480,1980,0.403,0.598,0.622,0.0,0.356,-8.363,0.745,137.466,0.621,35.0,1980,1980s,1
Queen,Rock It (Prime Jive),273133,1980,0.174,0.475,0.804,3.42e-06,0.0488,-11.274,0.057,160.185,0.62,26.0,1980,1980s,0
汪明荃,用愛將心偷 - 千王之王主題曲,203267,1980,0.182,0.389,0.347,4.31e-06,0.275,-10.176,0.0278,82.113,0.161,22.0,1980,1980s,2
The O'Jays,Once Is Not Enough,345413,1980,0.48,0.572,0.545,1.41e-05,0.487,-10.06,0.0323,145.106,0.52,5.0,1980,1980s,0
Locomotiv GT,Mozi,327867,1980,0.927,0.387,0.0989,0.00218,0.127,-19.511,0.0508,83.075,0.15,7.0,1980,1980s,2
Nicola Di Bari,Guitarra Suena Mas Bajo - 2s Take 2,205333,1980,0.969,0.366,0.207,0.126,0.101,-12.894,0.0296,86.065,0.37,37.0,1980,1980s,2
Kjell Höglund,Kärleksdans I Provence,215742,1980,0.86,0.553,0.317,0.0573,0.0981,-17.235,0.0394,94.157,0.624,16.0,1980,1980s,2
Genesis,Duke's End - Remastered 2007,128054,1980,0.000112,0.19,0.839,0.425,0.142,-5.889,0.0396,159.898,0.0925,32.0,1980,1980s,0
Yumi Matsutoya,コンパートメント,437403,1980,0.42,0.456,0.501,0.000628,0.11,-10.164,0.0329,141.656,0.11,16.0,1980,1980s,2
"Barbra Streisand, Barry Gibb",Guilty (feat. Barry Gibb),264333,1980,0.231,0.626,0.425,0.0,0.114,-15.656,0.0356,150.875,0.952,67.0,1980,1980s,0
The Beat,Can't Get Used to Losing You,185067,1980,0.00693,0.812,0.468,0.155,0.0678,-11.356,0.0411,112.775,0.888,48.0,1980,1980s,0
"Nara Leão, Chico Buarque",Dueto,229867,1980,0.885,0.487,0.473,0.0,0.11,-9.245,0.079,138.019,0.324,28.0,1980,1980s,2
"Camille Saint-Saëns, Anne Martindale Williams, Pittsburgh Symphony Orchestra, André Previn","Le Carnaval des Animaux, R. 125: Svanen",191133,1980,0.987,0.0715,0.00981,0.737,0.129,-34.5,0.0426,184.742,0.037,18.0,1980,1980s,2
Trio Amanecer,Mala Vida,161930,1980,0.805,0.619,0.413,0.0183,0.115,-11.139,0.08,87.209,0.506,10.0,1980,1980s,2
Bibi Blocksberg,Kapitel 23 - Die Zauberlimonade (Folge 003),57135,1980,0.836,0.789,0.39,0.0,0.371,-13.703,0.937,115.97,0.55,37.0,1980,1980s,1
Paul McCartney,Temporary Secretary - Remastered 2011,194280,1980,0.572,0.86,0.662,0.021,0.0382,-9.375,0.0555,132.42,0.702,42.0,1980,1980s,0
Valeriu Sterian,Cu Iubirea De Moșie,224213,1980,0.822,0.369,0.6,0.00326,0.271,-9.877,0.0315,97.906,0.757,5.0,1980,1980s,2
The Nolans,Attention to Me,187213,1980,0.0836,0.577,0.723,2.75e-05,0.0397,-7.869,0.0369,200.598,0.967,34.0,1980,1980s,0
Talking Heads,The Overload - 2005 Remaster,362933,1980,0.671,0.42,0.39,0.802,0.0658,-11.742,0.0273,91.104,0.0384,41.0,1980,1980s,2
Olivia Newton-John,Suspended In Time,235800,1980,0.0676,0.653,0.384,0.0245,0.13,-9.356,0.0266,98.246,0.141,30.0,1980,1980s,0
Linda Clifford,Red Light,370867,1980,0.03,0.889,0.645,0.102,0.0483,-10.856,0.0464,119.79,0.933,31.0,1980,1980s,0
Bruce Springsteen,Hungry Heart,199453,1980,0.0857,0.641,0.894,0.009,0.157,-7.41,0.0273,109.823,0.972,70.0,1980,1980s,0
Mohammed Rafi,Tu Is Tarah Se Mere Zindagi Main,394853,1980,0.71,0.448,0.467,1.9e-05,0.139,-12.848,0.0314,98.169,0.665,29.0,1980,1980s,2
Ramones,Rock 'n' Roll High School - 2002 Remaster,137400,1980,0.0183,0.499,0.87,0.0,0.0512,-4.431,0.126,188.853,0.893,57.0,1980,1980s,0
Rory Gallagher,Bad Penny - Live,398853,1980,0.0324,0.465,0.775,0.0106,0.981,-8.929,0.0326,97.244,0.837,23.0,1980,1980s,1
Patti Austin,Love Me Again,224067,1980,0.783,0.489,0.322,8.38e-05,0.106,-12.65,0.0267,94.368,0.166,35.0,1980,1980s,2
Gary Fane,Aries,212907,1980,0.272,0.557,0.541,8.46e-06,0.153,-13.033,0.0328,110.266,0.556,18.0,1980,1980s,0
Frații Petreuș,De Învârtit De Pe Mara,169369,1980,0.941,0.32,0.447,0.841,0.133,-6.538,0.0484,193.737,0.0399,4.0,1980,1980s,2
"The Tallis Scholars, Peter Phillips",Palestrina: Missa Papae Marcelli - 3g. Et in Spiritum Sanctum,69433,1980,0.996,0.199,0.238,0.0343,0.102,-21.678,0.0377,132.844,0.114,15.0,1980,1980s,2
Peter Gabriel,Games Without Frontiers,246667,1980,0.349,0.735,0.724,3.02e-05,0.132,-9.563,0.0518,96.046,0.921,51.0,1980,1980s,0
Die drei ???,021 - und der tanzende Teufel - Teil 32,65213,1980,0.701,0.693,0.467,0.0,0.385,-12.695,0.95,102.76,0.674,35.0,1980,1980s,1
Rugsted & Kreutzfeldt,Tilfældigvis Forbi,231133,1980,0.0465,0.723,0.437,0.00355,0.1,-14.903,0.0578,134.52,0.866,30.0,1980,1980s,0
Spinetta Jade,Amenábar,327067,1980,0.111,0.521,0.733,0.699,0.0896,-9.724,0.0429,98.326,0.869,43.0,1980,1980s,0
Fünf Freunde,010 - im Nebel - Teil 13,68733,1980,0.859,0.654,0.716,0.0,0.639,-11.068,0.903,140.795,0.38,28.0,1980,1980s,1
Anup Ghoshal,Aha Ki Ananda,173800,1980,0.926,0.491,0.37,0.0,0.0749,-10.642,0.032,79.633,0.659,18.0,1980,1980s,2
Die drei ???,014 - und das Bergmonster - Teil 19,62067,1980,0.361,0.533,0.37,0.0,0.699,-12.797,0.406,102.34,0.541,37.0,1980,1980s,1
Die drei ???,017 - und die gefährliche Erbschaft - Teil 12,61947,1980,0.406,0.595,0.206,0.0,0.396,-12.654,0.522,95.488,0.545,38.0,1980,1980s,1
美黛,意難忘,255493,1980,0.892,0.562,0.178,3.66e-05,0.262,-14.989,0.0398,117.869,0.351,19.0,1980,1980s,2
"Earth, Wind & Fire",You,330453,1980,0.454,0.43,0.5,4.81e-05,0.0518,-11.699,0.0399,141.778,0.52,32.0,1980,1980s,2
サザンオールスターズ,青い空の心(No me?More no!),202033,1980,0.575,0.56,0.757,0.0,0.0933,-6.83,0.0898,89.266,0.795,12.0,1980,1980s,0
Merle Haggard,"Misery And Gin - From The ""Clint Eastwood's Bronco Billy "" Soundtrack",168653,1980,0.551,0.291,0.404,1.38e-05,0.203,-10.869,0.0299,144.099,0.245,38.0,1980,1980s,2
Camilo Sesto,Piel de Angel,206000,1980,0.807,0.357,0.43,0.0,0.245,-7.025,0.0344,74.628,0.424,36.0,1980,1980s,2
S. P. Balasubrahmanyam,Kannada Naadina Rasikara,230740,1980,0.787,0.453,0.491,0.000235,0.235,-8.741,0.0344,97.216,0.436,10.0,1980,1980s,2
Lucio Dalla,Siamo Dei,268960,1980,0.177,0.673,0.607,1.8e-05,0.0801,-12.187,0.0487,127.679,0.908,35.0,1980,1980s,0
Itoiz,Ezekielen Prophezia,310547,1980,0.157,0.347,0.689,0.00056,0.33,-10.027,0.192,79.98,0.718,16.0,1980,1980s,0
Parveen Sultana,Humen Tumse Pyar Kitna - Female Vocals,293040,1980,0.983,0.427,0.336,0.0743,0.214,-12.125,0.0354,109.799,0.502,17.0,1980,1980s,2
Die drei ???,014 - und das Bergmonster - Teil 29,67987,1980,0.599,0.803,0.549,0.0,0.247,-11.447,0.916,113.171,0.586,37.0,1980,1980s,1
Sharon O'Neill,Asian Paradise,303333,1980,0.419,0.356,0.45,3.12e-05,0.194,-7.497,0.0283,89.029,0.213,26.0,1980,1980s,2
"Bezerra Da Silva, Genaro",Colina Maldita (feat. Genaro),214267,1980,0.604,0.695,0.679,0.0,0.0283,-6.656,0.277,101.921,0.967,34.0,1980,1980s,0
U2,Another Time Another Place - Remastered 2008,272947,1980,0.00194,0.328,0.823,0.000628,0.358,-8.377,0.0625,137.032,0.36,29.0,1980,1980s,0
The Rolling Stones,Dance (pt 1) - Remastered,263227,1980,0.354,0.74,0.895,0.402,0.0548,-4.529,0.0415,107.411,0.895,45.0,1980,1980s,0
Die drei ???,018 - und die Geisterinsel - Teil 01,66280,1980,0.00746,0.689,0.44,0.0,0.682,-11.345,0.188,154.856,0.787,37.0,1980,1980s,1
Bryan Adams,Wastin' Time,214333,1980,0.00118,0.715,0.662,0.00184,0.0465,-11.983,0.0311,128.658,0.913,34.0,1980,1980s,0
Tim Maia,"Você E Eu, Eu E Você (Juntinhos)",292670,1980,0.114,0.791,0.858,0.0923,0.0781,-9.45,0.072,125.791,0.872,46.0,1980,1980s,0
De Syngende Husmødre,Jeg Venter På Deg Til Du Kommer,117183,1980,0.525,0.389,0.319,0.0,0.086,-11.876,0.0321,137.084,0.375,7.0,1980,1980s,2
Stevie Wonder,Rocket Love,279267,1980,0.454,0.342,0.341,0.0,0.246,-15.613,0.0933,77.582,0.401,44.0,1980,1980s,2
Fünf Freunde,010 - im Nebel - Teil 32,73027,1980,0.896,0.684,0.571,0.0,0.325,-9.777,0.956,142.866,0.492,28.0,1980,1980s,1
CARLOS MATA,Presiento,217893,1980,0.445,0.543,0.386,8.09e-05,0.329,-16.268,0.0269,96.957,0.706,17.0,1980,1980s,2
Motörhead,Shoot You in the Back - 40th Anniversary Master,157867,1980,0.318,0.331,0.994,0.209,0.221,-3.771,0.0876,127.487,0.0698,26.0,1980,1980s,0
Milton Nascimento,Itamarandiba,204867,1980,0.66,0.315,0.27,0.0,0.14,-13.925,0.0287,149.23,0.241,19.0,1980,1980s,2
サザンオールスターズ,ジャズマン(JAZZ MAN),267167,1980,0.632,0.414,0.711,0.0,0.0723,-5.817,0.0714,143.852,0.839,19.0,1980,1980s,0
Fünf Freunde,009 - im alten Turm - Teil 07,63427,1980,0.823,0.724,0.389,0.0,0.341,-9.531,0.883,117.599,0.744,29.0,1980,1980s,1
UB40,Signing Off,264960,1980,0.0037,0.696,0.521,0.846,0.0469,-14.2,0.0591,94.62,0.962,25.0,1980,1980s,0
"Tintin, Tomas Bolme, Bert-Åke Varg","Det svarta guldet, del 7",55253,1980,0.476,0.757,0.328,0.0,0.0561,-17.524,0.914,107.202,0.631,22.0,1980,1980s,1
"Kishore Kumar, Asha Bhosle",Ho Jaye Phir Us Din Ka Jo Wada,295053,1980,0.371,0.511,0.519,0.0216,0.167,-10.049,0.0504,98.071,0.708,15.0,1980,1980s,0
林翠萍,不如甭熟悉,176437,1980,0.952,0.633,0.345,0.409,0.0978,-13.965,0.0272,87.218,0.615,17.0,1980,1980s,2
"George Benson, Bruce Swedien",Love Dance,198293,1980,0.795,0.475,0.0898,0.00044,0.11,-22.14,0.0422,118.352,0.0597,26.0,1980,1980s,2
Bruce Springsteen,From Small Things (Big Things One Day Come) - Studio Outtake - 1979,162053,1980,0.0532,0.446,0.925,0.0,0.0928,-6.733,0.0659,162.517,0.943,31.0,1980,1980s,0
Die drei ???,012 - und der seltsame Wecker - Teil 04,68120,1980,0.62,0.625,0.486,0.0,0.357,-10.939,0.96,170.115,0.758,37.0,1980,1980s,1
Trio Amanecer,Potocchi Orccopi,182183,1980,0.907,0.648,0.666,0.00136,0.297,-10.096,0.0584,89.195,0.617,10.0,1980,1980s,2
